alpha_mmd_loss,angular_mmd_loss,dmet_loss,epoch,grad_cos/alpha_mmd__rest,grad_cos/alpha_mmd__total,grad_cos/angular_mmd__rest,grad_cos/angular_mmd__total,grad_cos/dmet__rest,grad_cos/dmet__total,grad_cos/higgs_mass__rest,grad_cos/higgs_mass__total,grad_cos/huber__rest,grad_cos/huber__total,grad_cos/mass_mmd__rest,grad_cos/mass_mmd__total,grad_cos/w_mass_huber__rest,grad_cos/w_mass_huber__total,higgs_mass_loss,huber_loss,loss,loss_weight/alpha_mmd,loss_weight/angular_mmd,loss_weight/dmet,loss_weight/higgs_mass,loss_weight/huber,loss_weight/mass_mmd,loss_weight/w_mass_huber,mass_mmd_loss,step,test_alpha_mmd_loss,test_angular_mmd_loss,test_dmet_loss,test_higgs_mass_loss,test_huber_loss,test_loss,test_mass_mmd_loss,test_w_mass_huber_loss,val_alpha_mmd_loss,val_angular_mmd_loss,val_dmet_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_mass_mmd_loss,val_w_mass_huber_loss,w_mass_huber_loss
,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,17737,,,,,,,,,0.058890201151371,0.0027101885061711073,0.3432244658470154,0.19133634865283966,0.15291911363601685,31.984710693359375,0.04635656997561455,0.06915221363306046,
0.059995491057634354,0.0026495344936847687,0.3427969813346863,6,-0.0147909726947546,-0.005673506297171116,-0.07607501745223999,0.09461131691932678,0.617732048034668,0.6197174787521362,0.17475666105747223,0.9888666868209839,0.3542747497558594,0.4212740659713745,-0.49209147691726685,-0.4873672127723694,0.31102102994918823,0.31240659952163696,0.23918330669403076,0.15455865859985352,34.476402282714844,,,,,,,,0.05053553357720375,17737,,,,,,,,,,,,,,,,,0.07142998278141022
,,,7,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,20271,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,20271,,,,,,,,,0.04425835981965065,0.0026492266915738583,0.34052783250808716,0.22892259061336517,0.1502244472503662,33.246986389160156,0.0392933115363121,0.06683093309402466,
0.05180767923593521,0.0026267345529049635,0.3399970531463623,7,0.2464877814054489,0.2548392415046692,-0.19726087152957916,-0.12333519756793976,0.13279765844345093,0.13494513928890228,-0.3075137138366699,0.9931327700614929,-0.2704780101776123,-0.18548524379730225,-0.01878303289413452,-0.00963316485285759,-0.0946541577577591,-0.09315977245569229,0.23274463415145874,0.1522732377052307,33.738948822021484,,,,,,,,0.04546520486474037,20271,,,,,,,,,,,,,,,,,0.0691138505935669
,,,8,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,22805,,,,,,,,,,,,,,,,,
,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,22805,,,,,,,,,0.035846058279275894,0.0026539957616478205,0.33790290355682373,0.184669628739357,0.14530344307422638,30.437711715698242,0.037055693566799164,0.06501129269599915,
0.04029891639947891,0.0025973839219659567,0.33643653988838196,8,-0.48801523447036743,-0.47925102710723877,-0.10002568364143372,0.017260175198316574,0.013340301811695099,0.017134061083197594,0.08425003290176392,0.9928324818611145,0.30399376153945923,0.3709471523761749,-0.12922504544258118,-0.12052663415670395,0.5352309942245483,0.5365976691246033,0.22976809740066528,0.14867258071899414,32.994422912597656,,,,,,,,0.040239788591861725,22805,,,,,,,,,,,,,,,,,0.06697244942188263
,,,9,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,25339,,,,,,,,,,,,,,,,,
,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,25339,,,,,,,,,0.0320519395172596,0.0026600973214954138,0.329035222530365,0.1665843427181244,0.14191988110542297,29.180145263671875,0.03950683772563934,0.06478893011808395,
