aux_mom_mmd0_loss,aux_mom_mmd1_loss,dinu_pt_loss,epoch,higgs_mass_loss,huber_loss,loss,neg_r2_loss,nu_mass_loss,step,val_aux_mom_mmd0_loss,val_aux_mom_mmd1_loss,val_dinu_pt_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_neg_r2_loss,val_nu_mass_loss,val_w0_mass_mae_loss,val_w1_mass_mae_loss,val_w_mass_mmd0_loss,val_w_mass_mmd1_loss,w0_mass_mae_loss,w1_mass_mae_loss,w_mass_mmd0_loss,w_mass_mmd1_loss
,,,0,,,,,,1443,0.11147955805063248,0.11618353426456451,52.27448272705078,1.716632604598999,33.080772399902344,142.03697204589844,-0.701518177986145,2.409529997748905e-08,2663.770751953125,2621.94287109375,0.3303496539592743,0.31287118792533875,,,,
0.10819803923368454,0.1084865927696228,51.65557098388672,0,7.1750874519348145,32.7171516418457,196.91952514648438,-0.7074302434921265,2.0933132560685408e-08,1443,,,,,,,,,,,,,2652.017578125,2643.285400390625,0.42098626494407654,0.3866800367832184
,,,1,,,,,,2887,0.11118005961179733,0.11547650396823883,52.27632522583008,1.882102131843567,32.97224044799805,143.44418334960938,-0.7015938758850098,2.464776294175408e-08,2698.454345703125,2640.029296875,0.3278587758541107,0.31213030219078064,,,,
0.10743311792612076,0.10771550238132477,51.44247055053711,1,1.6208986043930054,32.56377410888672,139.07093811035156,-0.7077344059944153,2.2272775623832786e-08,2887,,,,,,,,,,,,,2603.763671875,2600.31640625,0.32139426469802856,0.3075673580169678
,,,2,,,,,,4331,0.11005229502916336,0.1138819083571434,52.26457977294922,1.0387468338012695,32.882572174072266,134.9651336669922,-0.7014806270599365,2.3302249019252486e-08,2683.2568359375,2623.94580078125,0.3348284363746643,0.3197324573993683,,,,
0.10682560503482819,0.10718616843223572,51.43787384033203,2,1.3748130798339844,32.47618103027344,136.42901611328125,-0.7075449228286743,2.253381481409633e-08,4331,,,,,,,,,,,,,2620.5380859375,2616.9423828125,0.3199005126953125,0.3089224398136139
,,,3,,,,,,5775,0.1101689264178276,0.11398132145404816,52.25627136230469,1.1018046140670776,32.84871292114258,135.4584503173828,-0.701698362827301,2.4288857147780618e-08,2705.896484375,2641.65087890625,0.3330647051334381,0.3153638243675232,,,,
0.10651901364326477,0.10695270448923111,51.430538177490234,3,1.1698288917541504,32.42797088623047,134.287353515625,-0.7076941132545471,2.267083587526031e-08,5775,,,,,,,,,,,,,2629.220458984375,2624.34521484375,0.3197977840900421,0.31023964285850525
,,,4,,,,,,7219,0.10959049314260483,0.11319734901189804,52.234153747558594,0.5280922651290894,32.81480026245117,129.72303771972656,-0.7017809748649597,2.2467702365247533e-08,2699.830810546875,2637.093994140625,0.3374634385108948,0.3201482892036438,,,,
0.10623826831579208,0.10689713060855865,51.414791107177734,4,0.9256216287612915,32.405826568603516,131.79115295410156,-0.707668125629425,2.26385772350568e-08,7219,,,,,,,,,,,,,2630.730224609375,2626.259033203125,0.3195411264896393,0.31109362840652466
,,,5,,,,,,8663,0.11021430790424347,0.11355620622634888,52.13359451293945,0.7778838872909546,32.809940338134766,132.02731323242188,-0.7018445134162903,2.3955687211696386e-08,2706.54248046875,2636.7138671875,0.33273038268089294,0.31653109192848206,,,,
0.10626243054866791,0.10677619278430939,51.36727523803711,5,0.714783251285553,32.392704010009766,129.6184844970703,-0.7076937556266785,2.2568048763105253e-08,8663,,,,,,,,,,,,,2629.633056640625,2624.696044921875,0.3198848068714142,0.31170204281806946
,,,6,,,,,,10107,0.11050727218389511,0.11387759447097778,48.90901184082031,0.4880155324935913,32.395294189453125,125.12474060058594,-0.7034679651260376,2.031694279480689e-08,2622.68017578125,2550.538818359375,0.33482590317726135,0.31946924328804016,,,,
0.1065090075135231,0.10724656283855438,50.425533294677734,6,0.6235606074333191,32.27351760864258,127.51084899902344,-0.7079951763153076,2.1661548998963553e-08,10107,,,,,,,,,,,,,2604.029296875,2596.855712890625,0.31869006156921387,0.31136488914489746
,,,7,,,,,,11551,0.10787242650985718,0.11057679355144501,43.970726013183594,0.6672450304031372,31.953163146972656,121.26069641113281,-0.7063480019569397,1.9459843514368913e-08,2503.80810546875,2452.55126953125,0.3417065441608429,0.32921943068504333,,,,
0.10596280544996262,0.10668070614337921,45.68660354614258,7,0.6816861629486084,31.74267578125,122.43645477294922,-0.7107232809066772,1.8948627555914754e-08,11551,,,,,,,,,,,,,2489.505126953125,2478.514404296875,0.32633477449417114,0.3182225823402405
,,,8,,,,,,12995,0.1019488051533699,0.10445193201303482,40.738616943359375,0.5458858609199524,31.68701934814453,116.55548095703125,-0.7088430523872375,2.1309981335093653e-08,2478.52880859375,2426.362548828125,0.35825541615486145,0.3399268686771393,,,,
0.10123520344495773,0.1014026328921318,41.40073776245117,8,0.7213312983512878,31.372486114501953,118.1512222290039,-0.7134450078010559,1.956120421198193e-08,12995,,,,,,,,,,,,,2424.051025390625,2414.623046875,0.3437683582305908,0.33525165915489197
,,,9,,,,,,14439,0.09859693795442581,0.10076828300952911,39.497032165527344,0.3666221499443054,31.5854434967041,113.45977020263672,-0.7099623084068298,2.2831502022313543e-08,2455.508056640625,2396.34375,0.36576783657073975,0.3465670645236969,,,,
0.0969899445772171,0.09705258905887604,39.28492736816406,9,0.6821082234382629,31.2060546875,115.49726104736328,-0.7154024243354797,2.1186524534755335e-08,14439,,,,,,,,,,,,,2401.05810546875,2389.667724609375,0.353412926197052,0.34429842233657837
,,,10,,,,,,15883,0.09644386917352676,0.09860594570636749,38.84961700439453,0.49609702825546265,31.504375457763672,113.96480560302734,-0.7108480930328369,2.3681510086248636e-08,2462.10595703125,2400.340576171875,0.367343544960022,0.34696561098098755,,,,
0.09430050849914551,0.0944145917892456,38.342002868652344,10,0.6359172463417053,31.124738693237305,113.98751068115234,-0.7165136933326721,2.25898268979563e-08,15883,,,,,,,,,,,,,2388.8779296875,2378.450439453125,0.3559618890285492,0.347491592168808
,,,11,,,,,,17327,0.09514513611793518,0.09703457355499268,38.39402389526367,0.4733591377735138,31.48765754699707,113.14755249023438,-0.7112151980400085,2.5104995415858866e-08,2452.949951171875,2394.148193359375,0.3598446846008301,0.34436678886413574,,,,
0.09259814023971558,0.09263142943382263,37.77302169799805,11,0.5927678942680359,31.079776763916016,112.90097045898438,-0.7168758511543274,2.3600989607075462e-08,17327,,,,,,,,,,,,,2380.564697265625,2369.234375,0.35605064034461975,0.347775936126709
,,,12,,,,,,18771,0.09315352886915207,0.09515155851840973,37.901187896728516,0.48245131969451904,31.47492027282715,112.4426040649414,-0.7114744782447815,2.6583364842736046e-08,2450.462646484375,2392.549072265625,0.3479112684726715,0.32853055000305176,,,,
0.0910293459892273,0.09091052412986755,37.321659088134766,12,0.5627177357673645,31.062442779541016,111.9885025024414,-0.7171028852462769,2.471209903376348e-08,18771,,,,,,,,,,,,,2374.728759765625,2362.78857421875,0.34926602244377136,0.3419608473777771
,,,13,,,,,,20215,0.09133490920066833,0.09265643358230591,36.035701751708984,0.6511516571044922,31.460784912109375,111.4879150390625,-0.7115935683250427,2.7949518255354633e-08,2472.602783203125,2412.313232421875,0.3105127513408661,0.291120320558548,,,,
0.08883436769247055,0.08860497176647186,36.4888916015625,13,0.5472683906555176,31.08518409729004,110.50386047363281,-0.7170999646186829,2.6400098107615122e-08,20215,,,,,,,,,,,,,2372.925048828125,2365.31396484375,0.31972458958625793,0.3172069191932678
,,,14,,,,,,21659,0.09100848436355591,0.09234675019979477,27.615558624267578,0.9323172569274902,30.819538116455078,104.9115219116211,-0.7147750854492188,2.7851365658193572e-08,2414.069580078125,2366.281494140625,0.32568445801734924,0.30740925669670105,,,,
0.08858992159366608,0.087853342294693,31.52772331237793,14,0.6654443144798279,30.75921058654785,105.8267822265625,-0.7185848951339722,2.642365259930557e-08,21659,,,,,,,,,,,,,2344.004150390625,2347.6044921875,0.30851230025291443,0.3038457930088043
,,,15,,,,,,23103,0.08217284828424454,0.08490367233753204,20.588489532470703,0.758108377456665,30.415664672851562,95.47076416015625,-0.71778404712677,3.1410440470835965e-08,2374.724853515625,2314.581298828125,0.332465261220932,0.314206063747406,,,,
0.0835975855588913,0.0840899720788002,23.29155731201172,15,0.8058673739433289,30.212566375732422,98.27505493164062,-0.7219611406326294,2.8888555547723627e-08,23103,,,,,,,,,,,,,2294.5634765625,2300.66943359375,0.3228050470352173,0.326872318983078
,,,16,,,,,,24547,0.07717250287532806,0.08002612739801407,17.479183197021484,0.6735541820526123,30.328044891357422,91.06414794921875,-0.7189283967018127,3.830142247807089e-08,2363.228271484375,2335.8330078125,0.32191550731658936,0.2970341444015503,,,,
0.0776791051030159,0.07855963706970215,18.975269317626953,16,0.8032847046852112,29.99199104309082,93.38416290283203,-0.7237731218338013,3.458212560758511e-08,24547,,,,,,,,,,,,,2288.231201171875,2289.91748046875,0.31775516271591187,0.3211078941822052
,,,17,,,,,,25991,0.07428554445505142,0.07732009887695312,16.13540267944336,0.5076213479042053,30.336708068847656,87.69528198242188,-0.7190852165222168,4.21193213639981e-08,2386.63232421875,2361.470458984375,0.3065749704837799,0.27402785420417786,,,,
0.07405989617109299,0.0750444084405899,16.980562210083008,17,0.7823731303215027,29.944181442260742,90.67416381835938,-0.7246895432472229,4.0071810758490756e-08,25991,,,,,,,,,,,,,2316.735595703125,2315.9765625,0.2998826801776886,0.29787003993988037
,,,18,,,,,,27435,0.07204928249120712,0.07549943774938583,15.244623184204102,0.6461432576179504,30.328346252441406,87.97154998779297,-0.7195165753364563,4.543495890629856e-08,2415.8408203125,2389.27490234375,0.2976033389568329,0.2628222703933716,,,,
0.07177117466926575,0.07281961292028427,15.984319686889648,18,0.7434169054031372,29.926189422607422,88.96543884277344,-0.7248511910438538,4.3953175321576055e-08,27435,,,,,,,,,,,,,2340.18994140625,2339.69384765625,0.2867358326911926,0.2822737991809845
,,,19,,,,,,28879,0.07076244056224823,0.07425195723772049,14.718867301940918,0.5999057292938232,30.323875427246094,86.81948852539062,-0.7197601795196533,4.922247143213099e-08,2425.587646484375,2407.092041015625,0.2873970568180084,0.25749319791793823,,,,
0.07016567885875702,0.07136478275060654,15.375052452087402,19,0.7104945778846741,29.919038772583008,87.84782409667969,-0.7254112362861633,4.7297792349354495e-08,28879,,,,,,,,,,,,,2354.33154296875,2354.861328125,0.2784433960914612,0.2740601897239685
,,,20,,,,,,30323,0.0701211541891098,0.07363040745258331,14.36439037322998,0.348930299282074,30.31963348388672,83.9681167602539,-0.7197652459144592,5.219226650865494e-08,2423.889404296875,2395.9560546875,0.28835511207580566,0.2586388885974884,,,,
0.06917309015989304,0.07036292552947998,14.937568664550781,20,0.6766834259033203,29.915205001831055,86.9745101928711,-0.725618302822113,5.013509962736862e-08,30323,,,,,,,,,,,,,2364.38232421875,2365.07958984375,0.2737395167350769,0.26972225308418274
,,,21,,,,,,31767,0.06916331499814987,0.07258462905883789,14.243240356445312,0.3219088613986969,30.349876403808594,83.51957702636719,-0.7196638584136963,5.3475613270848044e-08,2427.9072265625,2407.029296875,0.27724596858024597,0.25796952843666077,,,,
0.06870269775390625,0.06961467862129211,14.595051765441895,21,0.6486427783966064,29.912240982055664,86.27349853515625,-0.7256566882133484,5.2738972300403475e-08,31767,,,,,,,,,,,,,2369.35791015625,2370.6015625,0.2692292332649231,0.2669965922832489
