alpha_mmd_loss,angular_phi_mmd_loss,angular_theta_mmd_loss,dmet_loss,epoch,grad_cos/angular_phi_mmd__rest,grad_cos/angular_phi_mmd__total,grad_cos/angular_theta_mmd__rest,grad_cos/angular_theta_mmd__total,grad_cos/higgs_mass__rest,grad_cos/higgs_mass__total,grad_cos/huber__rest,grad_cos/huber__total,grad_cos/mass_mmd__rest,grad_cos/mass_mmd__total,grad_cos/w_mass_huber__rest,grad_cos/w_mass_huber__total,higgs_mass_loss,huber_loss,loss,loss_weight/alpha_mmd,loss_weight/angular_phi_mmd,loss_weight/angular_theta_mmd,loss_weight/dmet,loss_weight/higgs_mass,loss_weight/huber,loss_weight/mass_mmd,loss_weight/w_mass_huber,mass_mmd_loss,step,test_alpha_mmd_loss,test_angular_phi_mmd_loss,test_angular_theta_mmd_loss,test_dmet_loss,test_higgs_mass_loss,test_huber_loss,test_loss,test_mass_mmd_loss,test_w_mass_huber_loss,val_alpha_mmd_loss,val_angular_phi_mmd_loss,val_angular_theta_mmd_loss,val_dmet_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_mass_mmd_loss,val_w_mass_huber_loss,w_mass_huber_loss
,,,,0,,,,,,,,,,,,,,,,0.0,300.0,100.0,0.0,8.0,200.0,5.0,10.0,,2533,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2533,,,,,,,,,,,0.06979645043611526,0.07317551225423813,,1.1144177913665771,0.20992250740528107,81.65833282470703,0.2964906692504883,0.10196170955896378,
,0.0727134495973587,0.11401072889566422,,0,0.13378682732582092,0.8443748354911804,0.14733180403709412,0.6937789916992188,-0.6898579597473145,-0.3193352520465851,0.29103344678878784,0.5364261865615845,-0.6314667463302612,-0.6052507758140564,0.30838659405708313,0.3161475658416748,2.7909865379333496,0.21161313354969025,101.49435424804688,,,,,,,,,0.43828004598617554,2533,,,,,,,,,,,,,,,,,,,0.14372490346431732
,,,,1,,,,,,,,,,,,,,,,0.0,300.0,100.0,0.0,8.0,200.0,5.0,10.0,,5067,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5067,,,,,,,,,,,0.06295367330312729,0.06611669808626175,,0.3951476216316223,0.18731023371219635,68.14549255371094,0.24429981410503387,0.0803011953830719,
,0.06457724422216415,0.06607773900032043,,1,0.09097811579704285,0.9059269428253174,-0.037648919969797134,0.19330452382564545,-0.26069244742393494,0.11995808780193329,-0.0950932502746582,0.30195552110671997,-0.32271817326545715,-0.28645291924476624,0.31569358706474304,0.33547908067703247,0.7450760006904602,0.19576606154441833,73.34892272949219,,,,,,,,,0.2779132127761841,5067,,,,,,,,,,,,,,,,,,,0.08646123856306076
,,,,2,,,,,,,,,,,,,,,,0.0,300.0,100.0,0.0,8.0,200.0,5.0,10.0,,7601,,,,,,,,,,,,,,,,,,,
,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,7601,,,,,,,,,,,0.06386317312717438,0.06338071823120117,,0.3366955518722534,0.17243583500385284,64.59449005126953,0.22881482541561127,0.07726585119962692,
,0.06280522793531418,0.06274795532226562,,2,-0.03444741666316986,0.6404404640197754,-0.06900002807378769,0.3822630047798157,0.14136052131652832,0.6262319684028625,-0.08894092589616776,0.2265639305114746,-0.25908422470092773,-0.23750188946723938,0.48308128118515015,0.5051844120025635,0.4135427474975586,0.17894448339939117,66.19127655029297,,,,,,,,,0.2420785278081894,7601,,,,,,,,,,,,,,,,,,,0.07672768086194992
,,,,3,,,,,,,,,,,,,,,,0.0,300.0,100.0,0.0,8.0,200.0,5.0,10.0,,10135,,,,,,,,,,,,,,,,,,,
